Coke,7,,,,,,
Chips,15,,,,,,
Soup,20,,,,,,
Tshirt,70,,,,,,
Cake,20,,,,,,
Toothpaste,15,,,,,,
Toothbrush,7,,,,,,
Cup,15,,,,,,
Bread,20,,,,,,
Butter,70,,,,,,
Jam,20,,,,,,
Pen,15,,,,,,
Tape,7,,,,,,
Eraser,15,,,,,,
Shampoo,20,,,,,,
Conditioner,70,,,,,,
Towel,20,,,,,,
Pills,15,,,,,,
Knife,7,,,,,,
Toothpick,15,,,,,,
Milk,20,,,,,, 
Oil,70,,,,,,
Salt,20,,,,,,
Sugar,15,,,,,,
Handwash,7,,,,,,
Biscuit,15,,,,,,
Ruler,20,,,,,,
Bottle,70,,,,,,
Paper,20,,,,,,
Tissue,15,,,,,,
Glue,7,,,,,,
Fork,15,,,,,,
Spoon,20,,,,,,
Detergent,70,,,,,,
Blench,20,,,,,,
Egg,15,,,,,,
Hangar,7,,,,,,
Bodywash,15,,,,,,
Pencil,20,,,,,,
Bowl,70,,,,,,
